Incident ID,Incident Date,State,City Or County,Address,Business/Location Name,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested
2241994,25/02/2022,North Carolina,Charlotte,2219 Senior Dr,West Charlotte High School,0,0,0,0,0
2241810,25/02/2022,Florida,Niceville,800 E John Sims Pkwy,Niceville High School,0,0,0,0,1
2242123,25/02/2022,Florida,Miami,10655 SW 97th Ave,Miami Killian Senior High School,0,0,0,0,2
2245393,28/02/2022,California,Stockton,100 Doctor MLK Jr Blvd,Edison High School,0,0,0,0,1
2243754,28/02/2022,North Carolina,Parkton,400 N Green St,Parkton Elementary School,0,0,0,0,0
2243658,28/02/2022,Nevada,Reno,6055 Lancer St,Robert McQueen High School,0,0,0,0,1
2243833,28/02/2022,New York,Brooklyn,1745 Fulton St,Boys and Girls High School,0,1,0,0,0
2244462,01/03/2022,Texas,Colleyville,5401 Heritage Ave,Colleyville Heritage High School,0,0,0,0,2
2244265,01/03/2022,Florida,Land O Lakes (Land O' Lakes),5334 Parkway Blvd,Pine View Middle School,0,0,0,0,1
2245542,02/03/2022,North Carolina,Charlotte,2001 Alleghany St,Harding University High School,0,0,0,0,0
2245377,02/03/2022,California,Twentynine Palms,73175 El Paseo Dr,Oasis Elementary School,0,0,0,0,1
2245183,02/03/2022,Illinois,Springfield,2350 E Ash St,Springfield Southeast High School,0,0,0,0,1
2248518,02/03/2022,Iowa,Winthrop,414 5th St N,East Buchanan High School,0,0,0,0,1
2246480,02/03/2022,South Carolina,Conway,5639 US-701 N,Academy for Technology and Academics,0,0,0,0,1
2245793,02/03/2022,California,Antioch,4325 Spaulding St,Mno Grant Elementary,0,0,0,0,1
2245928,03/03/2022,Illinois,Rantoul,200 S Sheldon St,Rantoul Township High School,0,0,0,0,1
2246561,04/03/2022,Illinois,Edwardsville,2 Prairie Dr,Prairie Hall/ Southern Illinois University Edwardsville,0,0,0,0,1
2246568,04/03/2022,Kansas,Olathe,14545 W 127th St,Olathe East High School,0,2,0,1,1
2246961,04/03/2022,New Jersey,Clark,365 Westfield Ave,Arthur L. Johnson High School,0,0,0,0,1
2249356,07/03/2022,Michigan,Belleville,501 W Columbia Ave,Belleville High School,0,0,0,0,0
2248847,07/03/2022,Ohio,Batavia,4101 Bach Buxton Rd,West Clermont High School,0,0,0,0,1
2250288,07/03/2022,Michigan,Battle Creek,115 E Emmett St,Fremont International Academy,0,0,0,0,1
2248763,07/03/2022,Virginia,Hampton,1491 W Queen St,Hampton High School,0,0,0,0,1
2249914,07/03/2022,Kentucky,Pikeville,100 Winners Circle Dr,Pike Central High School,0,0,0,0,1
2250479,08/03/2022,Virginia,New Kent,7365 Egypt Rd,New Kent High School,0,0,0,0,0
2249879,08/03/2022,Florida,Port Orange,1250 Reed Canal Rd,Atlantic High School,0,0,0,0,1
2250160,08/03/2022,Florida,Jacksonville,590 Duval Station Rd,First Coast High School,0,0,0,0,1
2251872,09/03/2022,Washington,Spokane,500 W Longfellow Ave,Francis Willard Elementary School,0,0,0,0,1
2250512,09/03/2022,Texas,San Antonio,8400 N Loop 1604 W,Northside ISD  Dub Farris Athletic Complex,0,1,0,0,1
2250399,09/03/2022,Georgia,Trenton,300 Tradition Ln,Dade County High School,0,0,0,0,1
2250312,09/03/2022,Florida,Miami Gardens,4692 NW 183rd St,North Gardens High School,0,2,0,0,3
2250847,09/03/2022,Florida,Kissimmee,3055 Lake Marion Creek Rd,Lake Marion Creek Middle School,0,0,0,0,1
2250788,09/03/2022,California,Los Angeles,3921 Selig Pl,East Los Angeles Skills Center,0,0,0,0,1
2257420,09/03/2022,Nevada,Las Vegas,6600 W Erie Ave,Desert Oasis High School,0,0,0,0,0
2251859,10/03/2022,North Carolina,Nashville,1638 S 1st St,Nash Central Middle School,0,0,0,0,1
2251168,10/03/2022,Ohio,Columbus,546 Jack Gibbs Blvd,Fort Hayes Metropolitan Education Center,0,0,0,0,1
2251178,10/03/2022,Ohio,Cincinnati,2981 Montana Ave,Westwood Elementary School,0,0,0,0,0
2252165,11/03/2022,California,Richmond,5000 Valley View Rd,De Anza High School,0,0,0,0,0
2252224,11/03/2022,Wisconsin,Racine,3535 Lasalle St,Jerstad-Agerholm Elementary,0,0,0,0,1
2251319,11/03/2022,Florida,Fort Lauderdale,2330 NW 12th Ct,Dillard Elementary School,0,0,0,0,0
2253545,11/03/2022,Kentucky,Louisville,8620 Preston Hwy,Southern High School,0,0,0,0,0
2251908,11/03/2022,North Carolina,Greensboro,201 Alma Pinnix Dr,Page High School,0,0,0,0,1
2254146,14/03/2022,Washington,Moses Lake,1111 E Nelson Rd,Chief Moses Middle School,0,0,0,0,1
2254422,14/03/2022,South Carolina,Boiling Springs,2251 Old Furnace Rd,Boiling Springs High School,0,0,0,0,1
2257530,14/03/2022,North Carolina,Winston Salem (Winston-salem),1394 Thurmond St,Paisley IB Magnet School,0,0,0,0,1
2254658,15/03/2022,Massachusetts,Boston,9 Peacevale Rd,TechBoston Academy,0,2,0,0,2
2254531,15/03/2022,California,San Diego,4777 Imperial Ave,Lincoln High School,0,0,0,0,1
2254387,15/03/2022,South Carolina,Hopkins,2615 Lower Richland Blvd,Lower Richland High School,0,0,0,0,1
2552674,15/03/2022,Indiana,Lafayette,615 N 18th St,The Excel Center,0,0,0,0,1
2255599,15/03/2022,Missouri,Kansas City,8715 Holmes Rd,Center High School,0,0,0,0,0
2254548,15/03/2022,Maryland,Baltimore,1400 Orleans St,Paul Laurence Dunbar High School,0,1,0,0,0
